Title,Value
Speed Walk,1
Walking Shuffle,1
Butt Kicks,1
Jog,1
Skips,1
Sprint,1
Turkeys,1
High Knees,1
Backwards Run,1.5
Cross Overs,1.5
En Garde,1.5
Shuffle,1.5
Hip Twists,1.5
Leaps,1.5
High Xs,1.5
Skate Hops,1.5
Skuffle,1.5
Skiddish,2
Suicide (2-1-3-1-4-1),2
Ladder Run (2-1-3-2-4-3-4),2
Forward Ladder (2-1-3-2-4-3-4),2
Super Shuttle (1-4-2-3-1),2
Rabbit Run (2-1-4-3-1),2
Shuttle Run (2-3-4*2-3-1),2
Back Ends (2-1-3-2-4-3-4-3-2-3-1-2-1),2
Bonsai (3-1-4-2-4-1),2
Tarzan,2
Gremlin,2
Peles,2
Jumping Jacks (#) + Run,2
Heaves,2
Kamikaze (1-4-3-4-2-4-1-4-1),2
Tippy-Tap,2
Box Hurdles,2
Box Skips,2
Crook Crawl,2
Cross Over Crook,2
Reverse Gremlin,2
Weighted Gremlin,2.5
Weighted Crook Crawl,2.5
Big Bully,2.5
Moguls (20) + Run,2.5
Speed Skates (20) + Run,2.5
Toe Jumps (20) + Run,2.5
Mt. Climb (20) + Run,2.5
X (20) + Run ,2.5
Quick Feet (20) + Run,2.5
Two-Step (20) + Run,2.5
Infinity (20) + Run,2.5
Squonq,2.5
V-Step (20) + Run,3
Squat Jumps (10) + Run,3
Wipers (20) + Run,3
Wall Sit (1:00 or less),3
Plate Shake ,3
Plank Twist (#) + Run,3
Curl Walk,3
Jiggy (20) + Run,3
Bandits (20) + Run,3
Tarasq,3
Push Ups (#) + Run,3
Paratroopers (#) + Run,3
Backwards Lunge,3.5
Wall Sit (1:00 or more),3.5
Tuck Jumps (10) + Run,3.5
1 Legged Lunge,3.5
Airplanes,3.5
Forward Lunge,3.5
45 Degree Lunge,3.5
3 Pt. Stance,3.5
Leprechauns,3.5
Bear Crawl,3.5
Cross-Bear,3.5
Squat Thrust (#) + Run,3.5
Gargoyles,3.5
Peg Leg (#) + Run,3.5
Bulldogs,3.5
Hikes,3.5
Crap Shoot,3.5
Ape Shoot!,3.5
Yetti,4
Frog Hops,4
Potty Shots,4
Monkey Crawl,4
Rotating Squat,4
Keg Toss (#) + Run,4
Throwbacks,4
Zombies,4
Warrior Lunge,4
Plate Push,4
Neapolitan,4
HAG,4
Bag Drag,4
Plate Pulls,4
Mogul Madness,4
Cross Over Plate Push,4
Tic-Tac,4
Weighted Squat Jumps,4
Wall Push Up (#) + Run,4
Heave Ho,4
Mastodon (MogulBear),4.5
Hurl and Twist,4.5
Ball N Chain,4.5
Weighted Rotating Squat,4.5
Rev Bear Crawl,4.5
Dead Man Walking,4.5
Croakin,4.5
Window Washers,4.5
Mogul Push,4.5
Single Arm Plate Push,4.5
Crooked Bully,4.5
Wall Hell (:30 plus),4.5
Weighted Lunge,4.5
Trifecta!,4.5
Rev Bulldog,4.5
Window Wash + Push Up,5
Halos,5
Rev. Gargoyle,5
Trippin,5
Rump Roast,5
Ressurections,5
Asphyxiation (opp SH),5
Boulder Push,5
Crucifixion,5
Devastators,5
Typhons (Plate Pull),5
SLOMO-Push,5
El Chupacabra,5
Stranglehold,5
Gator Crawl,5
Gimpy Dog,5
Inch Worm,5
Rev Yetti,5
Reverse Gator,5
Rump Roast,5
Sling Shot,5
W. Warrior Lunge,5
SUPPS 10,5
Crook Shake,5
Quicksand,5.5
Jackal,5.5
SL Resurrections,5.5
100 LB Push,5.5
HamStrung,5.5
Rev Ball N Chain,5.5
Toros,5.5
Big Bucks,5.5
Shot Put,5.5
Anacondas,5.5
Reverse Plate Push,5.5
Revival (Rev. Resurrect),5.5
Obliterator,5.5
Upheaval,5.5
Diablo,6
Suicide Plate Push,6
Lunge + Side Raise,6
Potty Shot Hops,6
Rotating Squat + F. Raise,6
Jangle Leg,6
SL Revival,6
Thrust to Frog,6
Aurochs,6
Little Bucks,6
Prowler ,6
Banshee (F. Diablo),6
Jack Box,6
Mogul to Frog,6
313,6
Inch Worm + Push Up,6.5
Single Leg Inch Worm,6.5
Jack-Asses (SLRev.PP),6.5
Walrus,6.5
M.F.T.,6.5
What The?,6.5
Mr. Atlas,6.5
S.L. Boulder,6.5
Hack-It (SL Diablo),6.5
